name,price,depreciation,registration_date,mileage,owners,listing_url,brand
Suzuki Landy Hybrid 1.8A G,238888,26790,16-Jun-23,10000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1354259&DL=1000&utm_content=SLeligible,suzuki
Citroen DS5 Diesel 1.6A BlueHDi EAT6 Panoramic Roof,42800,11660,29-Jun-17,0,,https://www.sgcarmart.com/used_cars/info.php?ID=1354968&DL=4119,citroen
Toyota Corolla Altis 1.6A (COE till 08/2030),51800,9060,16-Aug-10,0,5,https://www.sgcarmart.com/used_cars/info.php?ID=1354981&DL=4119&utm_content=SLeligible,toyota
Honda Vezel 1.5A X,22802,16210,5-Jan-16,0,4,https://www.sgcarmart.com/used_cars/info.php?ID=1354860&DL=4119,honda
Citroen C4 1.2A PureTech,20800,9010,27-Sept-16,0,3,https://www.sgcarmart.com/used_cars/info.php?ID=1354869&DL=4119,citroen
Subaru Impreza WRX 2.5M STI-S (COE till 11/2027),55500,18500,27-Nov-07,0,6,https://www.sgcarmart.com/used_cars/info.php?ID=1320330&DL=1220&utm_content=SLeligible,subaru
Suzuki Landy Hybrid 1.8A G,262000,29180,26-Jul-23,12800,1,https://www.sgcarmart.com/used_cars/info.php?ID=1345636&DL=1000&utm_content=SLeligible,suzuki
Volvo XC90 T5 Momentum,175800,29350,26-Jul-19,45300,1,https://www.sgcarmart.com/used_cars/info.php?ID=1355164&DL=4475,volvo
Toyota Wish 1.8A X,36800,12620,12-Jan-17,0,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355476&DL=4119,toyota
Suzuki Landy Hybrid 1.8A G,227000,25410,21-Jun-23,16000,1,https://www.sgcarmart.com/used_cars/info.php?ID=1345637&DL=1000&utm_content=SLeligible,suzuki
Suzuki Swift Sport 1.6A (COE till 11/2030),58800,9810,24-Nov-10,0,6,https://www.sgcarmart.com/used_cars/info.php?ID=1355491&DL=4119&utm_content=SLeligible,suzuki
Audi A8L Mild Hybrid 3.0A TFSI Quattro Tip Sunroof,240000,29730,5-Jan-21,40000,2,https://www.sgcarmart.com/used_cars/info.php?ID=1355092&DL=3707,audi
Porsche Boxster S 3.4A PDK (COE till 07/2029),105000,22440,29-Sept-09,0,5,https://www.sgcarmart.com/used_cars/info.php?ID=1309683&DL=1220&utm_content=SLeligible,porsche
Toyota Corolla Altis 1.6A Standard,70800,13220,19-Jul-19,0,1,https://www.sgcarmart.com/used_cars/info.php?ID=1354873&DL=4119,toyota
Mazda 5 2.0A Sunroof,41800,11480,16-Oct-17,89347,1,https://www.sgcarmart.com/used_cars/info.php?ID=1346256&DL=2469&utm_content=SLeligible,mazda
Mercedes-Benz C-Class C200K (COE till 11/2027),31800,10560,3-Jan-08,0,4,https://www.sgcarmart.com/used_cars/info.php?ID=1354863&DL=4119&utm_content=SLeligible,mercedes-benz
Suzuki Landy Hybrid 1.8A G,227000,24640,4-Oct-23,9800,1,https://www.sgcarmart.com/used_cars/info.php?ID=1345638&DL=1000&utm_content=SLeligible,suzuki
BMW 5 Series 528i Sunroof (COE till 05/2031),89800,13790,17-Aug-11,0,3,https://www.sgcarmart.com/used_cars/info.php?ID=1354872&DL=4119&utm_content=SLeligible,bmw
